歌名,歌手,出现次数
我爱你,卢广仲; 新裤子; 李荣浩; 王菲; 腰乐队,31
花,Hello Nico; 宋佳; 花儿乐队; 萧潇; 藤井風,27
Song F,达达; 达达乐队,22
散步,彭坦,22
下雨天真,彭坦 / 春晓,21
祝你开心,孙燕姿,21
再.见,达达乐队,19
节日快乐,达达; 达达乐队,19
想去海边,夏日入侵企画,18
我怀念的,孙燕姿; 萧敬腾,18
Wonderful Tonight,Eric Clapton; 方大同,17
世界赠予我的,王菲,17
因为爱情,陈奕迅 / 王菲,16
难忘今宵,李谷一,15
午夜说再见,达达; 达达乐队,14
夏夜晚风,deca joins; 伍佰; 伍佰 & China Blue; 舒大卫 / 桃子假象 / CatSon,14
我,张国荣; 无边界音乐; 苏运莹; 蔡依林,14
相约一九九八,王菲 / 那英; 那英 / 王菲,14
再见,张震岳,13
我们的小世界,彭坦 / 春晓,13
爱情,张楚; 彭坦; 莫文蔚; 许巍,13
生活因你而火热,新裤子,13
醒不来,王菲,13
南方,达达; 达达乐队,12
好运来,祖海,12
当时的月亮,张悬; 王菲,12
思念是一种病,张震岳 / 蔡健雅; 蔡健雅 / 张震岳,12
祝你平安,孙悦; 毛不易,12
不经意间,达达; 达达乐队,11
东湖隧道,彭坦,11
总有一天你会出现在我身边,棱镜; 棱镜乐队,11
月光,浅堤 / deca joins 郑敬儒; 王心凌,11
歌曲：岁月 (Live),那英 / 王菲,11
静止,花儿乐队,11
奔,孙燕姿,10
小宇,Todd Li; 张震岳,10
慕容雪,薛凯琪,10
慢慢的,彭坦,10
我记得,赵雷,10
火,张惠妹,10
私奔,曾轶可; 郑钧,10
等等,王菲,10
这一切没有想象的那么糟,万晓利,10
阳光彩虹小白马,大张伟,10
雪の華,中島美嘉,10
飘雪,陈慧娴,10
Y.M.C.A,Village People,9
但愿人长久,王菲,9
呼吸,Tizzy T; 蔡健雅,9
在希望的田野上,朴树,9
夏日漱石 (Summer Cozy Rock),橘子海 (Orange Ocean),9
恭喜发财,Higher Brothers; 中国娃娃; 刘德华; 卓依婷,9
情歌,CHILL GANG / 刘悦spam-生番 / Lcz小强 / step.jad依加 / 夏之禹 / 迪木 / 鱼翅Fin; 哪吒乐队; 梁静茹; 草东没有派对; 陈珊妮; 陈绮贞,9
我的天使,达达; 达达乐队,9
推翻,王菲,9
晚安,丢火车; 颜人中; 麻园诗人,9
杀死那个石家庄人,万能青年旅店,9
欢迎光临,Jony J; 自由发挥; 马思唯 / P.O.E / 地磁卡,9
爱是,Schoolgirl byebye,9
相爱,脆莓(Brickleberry),9
约定,周蕙; 王菲,9
胡思乱想,王菲,9
蝴蝶,王菲; 陶喆,9
遇见,孙燕姿,9
雪儿,卢广仲,9
새까맣게,朴信惠,9
첫 눈,EXO,9
一夜一夜一夜,卢广仲,8
亡命之徒,纵贯线,8
你快乐所以我快乐,王菲,8
健康歌,范晓萱 / 杨峻荣,8
关于我爱你,张悬,8
"再见,再见",逃跑计划,8
向往,李健,8
太聪明,陈绮贞,8
奔跑在孤傲的路上,旅行团; 旅行团乐队,8
就让这首歌,张震岳 / 侯佩岑 / MC HotDog 热狗; 张震岳 / 侯佩岑 / MC Hotdog,8
想见你想见你想见你,八三夭,8
我和我的祖国,王菲; 陶国生,8
拥抱,五月天,8
推开世界的门,杨乃文; 火星电台,8
旋木,王菲,8
最后，我们会一起去海边,刺猬,8
月亮惹的祸,张宇,8
未知艺术家,Quark,8
痒,戴荃; 黄龄,8
百年孤寂,王菲,8
看海,周迅,8
穷开心,花儿乐队,8
自由,张悬; 张震岳; 李心洁,8
追梦人,凤飞飞; 椅子乐团 The Chairs; 白若溪,8
